Time,dram-0,dram-1,nvidia_gpu_0,package-0,package-1,
1.11154,6664129,6501460,14455,85285304,60930630,
1.0982,6578128,6378723,14467,84318266,59854644,
1.1099,6702348,4821030,13978,84366239,48863522,
1.1122,6676629,4824167,14218,84417386,49146359,
1.11753,6711069,4936040,14420,84542020,49778315,
1.10749,6626353,4825406,14307,83722198,49251827,
1.12768,5785236,6523874,13900,79490031,61111599,
1.11772,6691440,5929346,14727,75117056,65181351,
1.11257,6657489,4851936,14574,85098598,49606807,
1.11052,6645906,4870464,13715,84614469,49264828,
