Time,dram-0,dram-1,nvidia_gpu_0,package-0,package-1,
1.3213,6187151,5589580,16939,101770309,59639679,
1.32115,6122585,5534270,16755,101968794,59668915,
1.32284,6182317,5597521,16519,102108808,59472504,
1.32501,6296945,5607634,16925,102605877,59444123,
1.32489,7568528,5633460,17464,110510948,59528412,
1.32557,7323161,5648760,17426,110788595,59659821,
1.32936,7311579,5751622,17500,109792078,59939421,
1.32726,6298948,5628855,17104,102290082,59445649,
1.32308,6416851,5640758,17284,102412397,59628754,
1.32408,6256553,5622918,16727,102444317,59600311,
