Time,dram-0,dram-1,nvidia_gpu_0,package-0,package-1,
0.216019,1034892,1262893,2032,17078875,11704071,
0.216957,1022224,900007,2260,16859820,9513709,
0.216044,1032260,899594,2009,16823199,9557959,
0.216906,1054828,995220,2009,16929217,9750951,
0.215554,1037371,915078,2375,16811786,9505774,
0.214931,1029736,899211,2170,16808733,9475745,
0.212255,1012952,899105,2616,16614216,9396583,
0.217295,1057612,1003802,1884,16890765,9791113,
0.211759,1020403,955057,2042,16549579,9421790,
0.215627,1020893,896978,1712,16892596,9449988,
