Time,dram-0,dram-1,nvidia_gpu_0,package-0,package-1,
22.0206,106358746,96412950,297001,1707065637,980501030,
21.9293,106457859,128696011,289237,1600421867,1299720672,
22.0238,103718348,104271933,293424,1636427207,1094881413,
22.0222,107219202,97028974,291656,1713144968,984309431,
22.1605,107912415,129667071,294459,1757576555,1191769166,
22.0681,106073217,97205353,295527,1725503212,980232842,
22.0324,107536892,106044407,294081,1617480417,1125833544,
22.1103,108708473,131300255,298634,1735138563,1200198343,
22.3054,108811427,98047862,299131,1719927726,993310750,
22.0268,107073883,96640676,292863,1695923027,979537043,
