Time,dram-0,dram-1,nvidia_gpu_0,package-0,package-1,
6.70777,32350580,29404641,88528,518693191,298254363,
6.73741,32651867,29566607,89170,520664256,300290003,
6.7092,32958526,29491775,88488,518838272,299542202,
6.71039,33070017,28396341,88909,524383851,295656409,
6.71865,32561965,29569821,87932,521526924,298339996,
6.71762,33274088,34291140,88163,524035768,326494159,
6.66019,31924414,35278113,88107,471887097,371557642,
6.7199,33001412,39175360,89422,534347936,363948409,
6.71265,32037680,29375541,88800,522503911,298388762,
6.63743,32168785,39056494,87649,465209685,415729710,
