Time,dram-0,dram-1,nvidia_gpu_0,package-0,package-1,
115.557922,545535714,638770196,1543597,8091462501,6715646015,
118.003021,580306402,664477041,1584633,8269181406,6973113435,
117.862526,567639822,634393738,1580403,8233811258,6725055721,
115.507149,551470614,644222366,1536865,8066877787,6773506402,
116.556061,562589782,630953870,1561472,8175674139,6643905599,
119.417435,641533192,N/A,1622568,8408435200,7087949873,
118.308716,586359954,529280764,1598044,9156982174,5392936145,
116.751602,614303874,625192838,1556589,8460223092,6557743283,
117.533646,614710885,625512103,1573610,8383150048,6596019979,
116.670677,604801855,623668408,1550342,8330321570,6552426829,
